EGFP,mNeonG,Clover,mKOkappa,mOrange2,mScarlet.I,mRuby2,TagRFP.T,mCherry
43.21699703,60.16723869,43.16415325,NA,NA,30.21218849,49.40498507,12.06502563,NA
44.16003891,59.81468196,47.74476835,NA,NA,30.31846631,34.38757622,11.67255269,NA
44.98311219,58.74770556,47.69548126,NA,NA,32.51925144,22.03236917,19.44227914,NA
43.05904946,59.1881066,47.1253686,NA,NA,30.40018783,53.94398499,11.55434151,NA
42.162033,59.16316748,51.00890061,NA,NA,36.93542995,54.3427665,20.66929071,NA
43.71151455,59.6897365,NA,NA,NA,39.13303854,33.48731735,18.02695231,NA
NA,56.53860799,NA,NA,NA,35.17803271,41.92529354,19.61837135,NA
NA,59.19397876,NA,NA,NA,34.27910285,43.33643676,19.66732453,NA
NA,60.04737427,NA,NA,NA,34.06745348,52.24977042,20.62660401,NA
NA,60.17704372,NA,NA,NA,35.11619323,39.30517963,5.598985549,NA
NA,57.70388902,NA,NA,NA,34.69999707,40.72035108,20.56292464,NA
NA,52.09872494,NA,NA,NA,33.01398287,38.4539054,20.49111395,NA
NA,58.82899691,NA,NA,NA,32.60647195,24.93815229,8.507551771,NA
NA,59.87237808,NA,NA,NA,30.30265075,51.68996082,12.66564858,NA
NA,58.60891246,NA,NA,NA,37.10059674,47.66079813,13.11621461,NA
NA,NA,NA,NA,NA,36.853322060000004,46.78255147,12.5697958,NA
NA,NA,NA,NA,NA,NA,38.47611358,10.88791303,NA
NA,NA,NA,NA,NA,NA,37.82214082,1.697398175,NA
NA,NA,NA,NA,NA,NA,47.52762553,2.567359836,NA
NA,NA,NA,NA,NA,NA,49.85001852,NA,NA
NA,NA,NA,NA,NA,NA,44.11781946,NA,NA
NA,NA,NA,NA,NA,NA,42.99643486,NA,NA
NA,NA,NA,NA,NA,NA,41.31437635,NA,NA
NA,NA,NA,NA,NA,NA,55.77120666,NA,NA
NA,NA,NA,NA,NA,NA,54.10277518,NA,NA
NA,NA,NA,NA,NA,NA,30.51515957,NA,NA
NA,NA,NA,NA,NA,NA,32.58921081,NA,NA
NA,NA,NA,NA,NA,NA,43.02569705,NA,NA
NA,NA,NA,NA,NA,NA,48.98335335,NA,NA
NA,NA,NA,NA,NA,NA,50.33224022,NA,NA
NA,NA,NA,NA,NA,NA,23.48291751,NA,NA
NA,NA,NA,NA,NA,NA,54.89881519,NA,NA
NA,NA,NA,NA,NA,NA,27.72496659,NA,NA
NA,NA,NA,NA,NA,NA,50.57854118,NA,NA
NA,NA,NA,NA,NA,NA,45.18100446,NA,NA
