conditions,frame,cell,area,Signal1,Signal2,YFPcorr,Signal3,Signal4,Activity
ITSN1_DHPH,8,3,7434,67.3846,310.167,273.105,489.559,203.914,4.05293
ITSN1_DHPH,9,1,5339,17.6804,50.9223,41.1981,105.92,78.1197,2.33016
ITSN1_DHPH,9,2,9307,22.8526,52.5512,39.9823,88.8894,19.2632,1.74957
ITSN1_DHPH,9,3,10421,10.2378,22.7743,17.1435,46.5803,16.0909,1.67453
ITSN1_DHPH,9,4,6495,8.28521,18.2582,13.7013,31.9206,22.1718,1.65371
ITSN1_DHPH,10,1,4935,17.8133,41.711,31.9137,97.7019,56.8381,1.79157
ITSN1_DHPH,10,2,5926,19.4816,45.4598,34.7449,108.56,49.1992,1.78347
ITSN1_DHPH,10,3,5330,22.0275,35.1453,23.0302,84.0178,14.3494,1.04552
ITSN1_DHPH,10,4,8527,17.1381,40.1318,30.7058,68.2146,50.2693,1.79166
ITSN1_DHPH,10,5,7549,10.533,21.5719,15.7787,39.1141,32.7993,1.49803
ITSN1_DHPH,11,1,6051,28.2062,71.3211,55.8076,152.32,14.3764,1.97856
ITSN1_DHPH,11,2,8150,40.9128,164.448,141.946,323.458,177.383,3.46947
ITSN1_DHPH,11,3,4839,59.4738,264.828,232.117,526.905,182.67,3.90285
